title,location,work_type,pay_period,avg_max_salary,avg_min_salary
 Account Manager ,"Omaha, NE",FULL_TIME,HOURLY,54080.0,33280.0
 Associate Director Marketing Asset Management,New York City Metropolitan Area,FULL_TIME,YEARLY,125.0,115.0
 Client Advisor,"Los Angeles, CA",FULL_TIME,HOURLY,49920.0,43680.0
 GCS Systems Engineer 73463,"Austin, TX",FULL_TIME,YEARLY,115000.0,80000.0
 HR Specialist,"Seattle, WA",FULL_TIME,HOURLY,47840.0,41600.0
 Infor CloudSuite ERP System Analyst ,"Colorado, United States",FULL_TIME,YEARLY,150000.0,120000.0
 Infrastructure Engineer DNS ,United States,CONTRACT,HOURLY,187200.0,124800.0
 Lead Maintenance Technician ,"Thousand Oaks, CA",FULL_TIME,YEARLY,115000.0,90000.0
 Logistics Operations Director ,"Los Angeles, CA",FULL_TIME,YEARLY,209500.0,149600.0
 Microsoft Dynamics CRM Solution Architect,"Irvine, CA",FULL_TIME,YEARLY,200000.0,160000.0
 Occupational Health Engineer – Industrial Hygienist 71979,"Austin, TX",FULL_TIME,YEARLY,110000.0,85000.0
 Printing Press Operator,"Madison, WI",FULL_TIME,YEARLY,50000.0,45000.0
 Regional Business Office Manager,Los Angeles Metropolitan Area,FULL_TIME,YEARLY,105000.0,95000.0
 Retail Sales Representative,"Omaha, NE",FULL_TIME,HOURLY,52000.0,33280.0
 Weld Manufacturing Engineer,"Paton, IA",CONTRACT,HOURLY,72800.0,72800.0
'Niche - Medicaid Proposal Writer': Fully Remote (Work From Home),United States,CONTRACT,HOURLY,228800.0,208000.0
(Automotive) Hardware Platform Security and Chip Architect,San Diego Metropolitan Area,FULL_TIME,YEARLY,250000.0,180000.0
(Internal) FIM Engineer I,"Littleton, CO",FULL_TIME,YEARLY,94000.0,65800.0
(Night Shift) Maritime Diesel Engine Analyst,"Houston, TX",CONTRACT,HOURLY,60320.0,60320.0
(USA) Coach/Ops Mgr Trainee,"Apple Valley, CA",FULL_TIME,HOURLY,75004.8,69014.4
"(USA) Technician II, General Facilities Maintenance - WMUS","Malone, NY",FULL_TIME,HOURLY,75504.0,44491.200000000004
"***Chatham Hiring Event*** Youth Counselor - August 28, 2023, 9:30am to 4:00pm New Starting Salary","Chatham County, NC",FULL_TIME,YEARLY,64194.0,44500.0
.NET Developer Production Support,"Glen Allen, VA",FULL_TIME,YEARLY,126000.0,84000.0
073076-Software Engineer Lead,"Texas, United States",FULL_TIME,YEARLY,138944.0,65200.0
10627 – Software Engineer II (Heroku Architect) ,"Fountain Valley, CA",FULL_TIME,YEARLY,114103.0,79800.0
"10713 - Manager, Platform Solutions","Fountain Valley, CA",FULL_TIME,YEARLY,173756.0,112830.0
18-24 month contract Payroll Manager,"Milwaukee, WI",CONTRACT,HOURLY,104000.0,101920.0
18-24 month contract Sr. Accountant,"Milwaukee, WI",CONTRACT,HOURLY,104000.0,101920.0
2024 Amazon Operations Finance Rotational Program Summer Internship,"Nashville, TN",FULL_TIME,HOURLY,109200.0,47507.2
"2024 Operations Engineering - Field Engineer Intern, Global Engineering Services (GES)","Phoenix, AZ",FULL_TIME,HOURLY,93496.0,48609.6
2024 Supply Chain MBA Rotational Development Program,"Santa Clara, CA",FULL_TIME,YEARLY,132000.0,96000.0
2nd Shift Deli Lead,"Little Falls, NJ",FULL_TIME,HOURLY,52000.0,41600.0
2nd Shift Tool and Die Maker/Repair,"Plymouth, MI",FULL_TIME,HOURLY,72800.0,58240.0
3D Artist,"Burlingame, CA",FULL_TIME,YEARLY,100.0,70.0
3D Artist,"Redmond, WA",CONTRACT,HOURLY,99840.0,83200.0
3D Artist Gaming,"Redmond, WA",CONTRACT,HOURLY,116480.0,104000.0
3D Cloud Graphics & Asset Pipeline Engineer - Contract,"Palo Alto, CA",CONTRACT,HOURLY,197600.0,124800.0
3D Tools Engineer - Blender & Simplygon,"Palo Alto, CA",CONTRACT,HOURLY,197600.0,124800.0
3rd Shift Lab Technician,"Chicago, IL",CONTRACT,HOURLY,60320.0,52000.0
AFC & Compliance Officer - Compliance Testing ,"New York, NY",FULL_TIME,YEARLY,145000.0,78750.0
AI Communications Lead,"New York, NY",FULL_TIME,YEARLY,140000.0,86000.0
"AI Consultant, Google Cloud","Chicago, IL",FULL_TIME,YEARLY,315000.0,215000.0
"AI Consultant, Google Cloud","Irvine, CA",FULL_TIME,YEARLY,315000.0,215000.0
"AI Consultant, Google Cloud","Los Angeles, CA",FULL_TIME,YEARLY,315000.0,215000.0
"AI Consultant, Google Cloud","Seattle, WA",FULL_TIME,YEARLY,315000.0,215000.0
